Section,Code,Title,Type,Last Revised,Last Reviewed,URL
C. General School Administration,CEC,Appointed Superintendent - Recruitment,P,05/11/2006,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=86QzwEcej2TriZWQG1tzVg==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=slshEWxu3ROX8Xy8FCkuzrJ5A==&PG=6&IRP=0&isPndg=false
C. General School Administration,CED,Appointed Superintendent - Appointment,P,05/11/2006,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=KAhu8hy7oSrZBQz7W1B0OA==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=slshEWxu3ROX8Xy8FCkuzrJ5A==&PG=6&IRP=0&isPndg=false
C. General School Administration,CEE,Superintendent Compensation and Benefits,P,06/11/2026,06/11/2026,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=BzMh2op4iTF3a6VmAdGjQw==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=slshEWxu3ROX8Xy8FCkuzrJ5A==&PG=6&IRP=0&isPndg=false
C. General School Administration,CEF,Superintendent Expenses,P,05/11/2006,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=vV2GLRm4pNc71CiJfI8xaw==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=slshEWxu3ROX8Xy8FCkuzrJ5A==&PG=6&IRP=0&isPndg=false
C. General School Administration,CEG,Superintendent Professional Development Opportunities,P,05/11/2006,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=vgslshM4PeT2plusVJ6It9ciMrfg==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=slshEWxu3ROX8Xy8FCkuzrJ5A==&PG=6&IRP=0&isPndg=false
C. General School Administration,CEH,Superintendent Consulting,P,07/26/2016,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=7M7Bplusge3y2T7Ogwbt4mTeQ==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=slshEWxu3ROX8Xy8FCkuzrJ5A==&PG=6&IRP=0&isPndg=false
C. General School Administration,CEI,Superintendent Evaluation,P,02/12/2007,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=EPslshxdnS9AZK6prD1qRiGyQ==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=slshEWxu3ROX8Xy8FCkuzrJ5A==&PG=6&IRP=0&isPndg=false
C. General School Administration,CEJ,Appointed Superintendent Separation,P,07/26/2016,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=ZCz1QHQW1GwDLudXG3Uslsh8w==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=slshEWxu3ROX8Xy8FCkuzrJ5A==&PG=6&IRP=0&isPndg=false
C. General School Administration,CEK,Superintendent Resignation,P,07/26/2016,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=vKLplusL60plusQWslsh47iYJz3eslshsQ==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=slshEWxu3ROX8Xy8FCkuzrJ5A==&PG=6&IRP=0&isPndg=false
C. General School Administration,CEL,Superintendent Retirement,P,07/26/2016,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=gsplusslshozrh56O8D4Hh4sNJ5Q==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=slshEWxu3ROX8Xy8FCkuzrJ5A==&PG=6&IRP=0&isPndg=false
C. General School Administration,CEM,Superintendent - Bond,P,02/12/2007,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=aBmcVwGOb0hHpnEslshy59XOw==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=slshEWxu3ROX8Xy8FCkuzrJ5A==&PG=6&IRP=0&isPndg=false
C. General School Administration,CG,Administrative Personnel,P,07/26/2016,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=aeUDL9LHo967WGsOQplusiQKg==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=slshEWxu3ROX8Xy8FCkuzrJ5A==&PG=6&IRP=0&isPndg=false
C. General School Administration,CGA,Administrative Personnel Compensation Guides and Contracts,P,06/30/2026,06/30/2026,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=hqTwe67Vdj4pv9dnvAsplusEQ==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=slshEWxu3ROX8Xy8FCkuzrJ5A==&PG=6&IRP=0&isPndg=false
C. General School Administration,CGD,Administrative Personnel Hiring,P,12/10/2024,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=IMmoLqg5DrcDrplusk1oiYPLg==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=slshEWxu3ROX8Xy8FCkuzrJ5A==&PG=6&IRP=0&isPndg=false
C. General School Administration,CGE,Administrative Personnel Assignment,P,07/26/2016,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=PjprX2ivxjPFAV502bZ5Sw==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=slshEWxu3ROX8Xy8FCkuzrJ5A==&PG=6&IRP=0&isPndg=false
C. General School Administration,CGJ,Administrative Personnel Promotions,P,12/10/2024,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=fhCslshlhtA3dTyrFlXPgj4kw==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=slshEWxu3ROX8Xy8FCkuzrJ5A==&PG=6&IRP=0&isPndg=false
C. General School Administration,CGL,Administrative Personnel Reassignment,P,07/26/2016,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=JecglaadsegUIQe5thdlig==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=slshEWxu3ROX8Xy8FCkuzrJ5A==&PG=6&IRP=0&isPndg=false
C. General School Administration,CGM,Administrative Personnel Separation,P,07/26/2016,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=3VwwnE3jhPmWulslsh98ehLeg==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=slshEWxu3ROX8Xy8FCkuzrJ5A==&PG=6&IRP=0&isPndg=false
C. General School Administration,CGN,Administrative Personnel Resignation,P,07/26/2016,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=kcPxM3TTA7GwNGas4FEydw==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=slshEWxu3ROX8Xy8FCkuzrJ5A==&PG=6&IRP=0&isPndg=false
C. General School Administration,CGO,Administrative Personnel Retirement,P,07/26/2016,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=MPICgiCpyOW6hrq85Fbviw==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=slshEWxu3ROX8Xy8FCkuzrJ5A==&PG=6&IRP=0&isPndg=false
C. General School Administration,CGPB,Administrative Personnel Time Schedules,P,07/26/2016,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=yOVhS22v1DXHXAxIvplusHosw==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=slshEWxu3ROX8Xy8FCkuzrJ5A==&PG=6&IRP=0&isPndg=false
C. General School Administration,CGPD,Administrative Personnel Expenses,P,07/26/2016,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=Jsslshtl4o6H4xGtz9OjjyXbg==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=slshEWxu3ROX8Xy8FCkuzrJ5A==&PG=6&IRP=0&isPndg=false
C. General School Administration,CGPF,Administrative Personnel Professional Leaves and Absences,P,07/26/2016,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=slshIwNWcFJ2GdPTI0bm6myDw==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=slshEWxu3ROX8Xy8FCkuzrJ5A==&PG=6&IRP=0&isPndg=false
C. General School Administration,CK,Administrative Personnel Professional Development,P,07/26/2016,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=KqBdGUSqKWplusWZn6BBdKVsg==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=slshEWxu3ROX8Xy8FCkuzrJ5A==&PG=6&IRP=0&isPndg=false
C. General School Administration,CL,Administrative Personnel Councils,P,07/26/2016,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=nwaPfGTKqpN123EuYBlqbA==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=slshEWxu3ROX8Xy8FCkuzrJ5A==&PG=6&IRP=0&isPndg=false
C. General School Administration,CMA,Administrative Rules,P,07/26/2016,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=RkZhylc96K930ohhUO1FSw==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=slshEWxu3ROX8Xy8FCkuzrJ5A==&PG=6&IRP=0&isPndg=false
C. General School Administration,CN,Administrative Records,P,07/26/2016,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=ZNawZplusp62iGXdo3zzcnTplusw==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=slshEWxu3ROX8Xy8FCkuzrJ5A==&PG=6&IRP=0&isPndg=false
C. General School Administration,CNA,Access to Public Records,P,07/21/2025,07/21/2025,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=wT4Vk3nKP1rYdKX5qRdMDA==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=slshEWxu3ROX8Xy8FCkuzrJ5A==&PG=6&IRP=0&isPndg=false
C. General School Administration,CO,Administrative Reports,P,07/26/2016,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=5gPnNSDsJpfvNvl6Xguemg==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=slshEWxu3ROX8Xy8FCkuzrJ5A==&PG=6&IRP=0&isPndg=false
C. General School Administration,CPL,School Counselors,P,06/11/2026,06/11/2026,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=6BDxufdPzqH6tmMOnPv0tA==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=slshEWxu3ROX8Xy8FCkuzrJ5A==&PG=6&IRP=0&isPndg=false
D. Fiscal Management,DA,Fiscal Management Goals and Objectives,P,02/12/2007,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=JcVzsB9VOEGDplusH1t2CCBFA==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=UbQL1xGtQpuhwEoCYu2lOw==&PG=6&IRP=0&isPndg=false
D. Fiscal Management,DC,Annual Operating Budget,P,07/26/2016,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=WMyqWuZPDUAyfw0E4xmrZQ==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=UbQL1xGtQpuhwEoCYu2lOw==&PG=6&IRP=0&isPndg=false
D. Fiscal Management,DCB,Fiscal Year / Scholastic Year,P,07/26/2016,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=QrNpxpYeL1UZVZCjjSvUSA==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=UbQL1xGtQpuhwEoCYu2lOw==&PG=6&IRP=0&isPndg=false
D. Fiscal Management,DCH,Periodic Budget Reconciliation,P,12/10/2024,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=FQznyubmSvQslshBLMeCcH9Hw==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=UbQL1xGtQpuhwEoCYu2lOw==&PG=6&IRP=0&isPndg=false
D. Fiscal Management,DEEA,Timekeeping - Time and Effort,P,11/15/2004,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=esrUKYDOxn0UmqipslshDKuxg==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=UbQL1xGtQpuhwEoCYu2lOw==&PG=6&IRP=0&isPndg=false
D. Fiscal Management,DFA,Local Tax Revenues,P,08/11/2020,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=yweFWBQC5OqslshvlP3Pf3L4w==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=UbQL1xGtQpuhwEoCYu2lOw==&PG=6&IRP=0&isPndg=false
D. Fiscal Management,DFCAA,Federal Loans and Grants,P,09/27/2017,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=wjzb3j6MAHRuPRcKhmWtnw==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=UbQL1xGtQpuhwEoCYu2lOw==&PG=6&IRP=0&isPndg=false
D. Fiscal Management,DFCAAA,Restrictions on Use of Federal Funds,P,07/26/2016,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=slshKMdcx1sGf3Fa5nELtH7rQ==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=UbQL1xGtQpuhwEoCYu2lOw==&PG=6&IRP=0&isPndg=false
D. Fiscal Management,DFD,Bond Sales,P,08/11/2020,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=4vslshnA4LSEslshxGgTLbWgTeYw==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=UbQL1xGtQpuhwEoCYu2lOw==&PG=6&IRP=0&isPndg=false
D. Fiscal Management,DFL,Investment Earnings,P,07/26/2016,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=TrMWPuWTvsNFE6xYgF3gpA==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=UbQL1xGtQpuhwEoCYu2lOw==&PG=6&IRP=0&isPndg=false
D. Fiscal Management,DG,Depository of Funds,P,12/10/2024,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=tUcuaSnvbDpluspQVC2s5gzEA==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=UbQL1xGtQpuhwEoCYu2lOw==&PG=6&IRP=0&isPndg=false
D. Fiscal Management,DGA,Fund Balance (GASB 54),P,02/12/2007,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=XtePpluszigrIypXRzplusARXRplusQ==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=UbQL1xGtQpuhwEoCYu2lOw==&PG=6&IRP=0&isPndg=false
D. Fiscal Management,DGBA,Non-Sufficient Funds Check Collections,P,08/14/2001,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=vQplusOyHbpQfLO6M27pluscdQdQ==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=UbQL1xGtQpuhwEoCYu2lOw==&PG=6&IRP=0&isPndg=false
D. Fiscal Management,DH,Bonded Employees and Board Members,P,07/26/2016,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=mRyC4OemGWTUuPIPAbNIJA==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=UbQL1xGtQpuhwEoCYu2lOw==&PG=6&IRP=0&isPndg=false
D. Fiscal Management,DIAB,Internal Control of Cash Receipts,P,07/26/2016,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=oOdP265XVuv2Iybl0CZzdw==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=UbQL1xGtQpuhwEoCYu2lOw==&PG=6&IRP=0&isPndg=false
D. Fiscal Management,DIB,Financial Reports and Statements,P,02/12/2007,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=pluswKlhj6plushOyHslshy0FrfK4qA==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=UbQL1xGtQpuhwEoCYu2lOw==&PG=6&IRP=0&isPndg=false
D. Fiscal Management,DID,Audits,P,12/10/2024,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=0avYhOirxaA3637rBWlplus1g==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=UbQL1xGtQpuhwEoCYu2lOw==&PG=6&IRP=0&isPndg=false
D. Fiscal Management,DIDA,Disposal of Financial Records,P,10/16/2025,10/16/2025,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=mFfFyfuFwwplusXXYiG84STzQ==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=UbQL1xGtQpuhwEoCYu2lOw==&PG=6&IRP=0&isPndg=false
D. Fiscal Management,DJ,Expenditure of Funds,P,12/10/2024,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=mZsQr7Eq4385wol1xdjkNw==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=UbQL1xGtQpuhwEoCYu2lOw==&PG=6&IRP=0&isPndg=false
D. Fiscal Management,DJAA,Authorized Signatures,P,07/26/2016,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=v7aZ6Oj18slsh5vVKEQCRPJWA==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=UbQL1xGtQpuhwEoCYu2lOw==&PG=6&IRP=0&isPndg=false
D. Fiscal Management,DJC,Payroll Procedure,P,06/11/2026,06/11/2026,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=plusa0BUl3yTj9ggWT1Jty1fg==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=UbQL1xGtQpuhwEoCYu2lOw==&PG=6&IRP=0&isPndg=false
D. Fiscal Management,DJDAA,Travel Reimbursements,P,07/26/2016,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=IwCOv32UO7Y9KElawgaeOQ==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=UbQL1xGtQpuhwEoCYu2lOw==&PG=6&IRP=0&isPndg=false
D. Fiscal Management,DJEC,Federal Purchasing and Procurement,P,06/11/2026,06/11/2026,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=qz9B7WJpluscfMEgtigryZH1Q==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=UbQL1xGtQpuhwEoCYu2lOw==&PG=6&IRP=0&isPndg=false
D. Fiscal Management,DJED,Bids and Quotations,P,02/12/2007,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=Va9VIEQHTgxA3e4tHFAvpg==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=UbQL1xGtQpuhwEoCYu2lOw==&PG=6&IRP=0&isPndg=false
D. Fiscal Management,DJEDD,Bid Protest Policy,P,08/11/2020,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=YfwksF3OIGGSbyIhfl6O2w==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=UbQL1xGtQpuhwEoCYu2lOw==&PG=6&IRP=0&isPndg=false
D. Fiscal Management,DJEGD,State Contracts,P,07/26/2016,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=Ie6J4Byjkzyc6b2kAplusXCEA==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=UbQL1xGtQpuhwEoCYu2lOw==&PG=6&IRP=0&isPndg=false
D. Fiscal Management,DJEI,Vendor Relations,P,06/01/2011,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=ECXslsh9XDpfF7uTxc7lqZXNA==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=UbQL1xGtQpuhwEoCYu2lOw==&PG=6&IRP=0&isPndg=false
D. Fiscal Management,DJEIB,Acceptance of Gifts From Vendors or Suppliers,P,08/11/2020,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=4NPXopSLJxBFd5g6y3JPKA==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=UbQL1xGtQpuhwEoCYu2lOw==&PG=6&IRP=0&isPndg=false
D. Fiscal Management,DJER,Purchasing - Purchase Order Requirements,P,02/12/2007,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=plusMZLslshfU4FLOxvFcCj1nziw==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=UbQL1xGtQpuhwEoCYu2lOw==&PG=6&IRP=0&isPndg=false
D. Fiscal Management,DJI,Use of District Credit Cards,P,09/17/2021,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=wzGK8ItgLXn8Pdo04dJ5tQ==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=UbQL1xGtQpuhwEoCYu2lOw==&PG=6&IRP=0&isPndg=false
D. Fiscal Management,DK,Student Activities Fund Management,P,10/09/2024,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=JKplusetAMGKv1SttBZ2povNg==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=UbQL1xGtQpuhwEoCYu2lOw==&PG=6&IRP=0&isPndg=false
D. Fiscal Management,DKAB,Fundraising Tax Exemption for School Affiliated Organizations,P,07/26/2016,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=wJcPOo0t7fd3uuoOWd9slshUA==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=UbQL1xGtQpuhwEoCYu2lOw==&PG=6&IRP=0&isPndg=false
D. Fiscal Management,DM,Fixed Assets Policy,P,02/12/2007,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=76oHxyvWtu0plusk8156VWgkw==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=UbQL1xGtQpuhwEoCYu2lOw==&PG=6&IRP=0&isPndg=false
D. Fiscal Management,DO,School Properties Disposal Procedure,P,07/26/2016,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=27Dco7jftdIbQXecyKSnXA==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=UbQL1xGtQpuhwEoCYu2lOw==&PG=6&IRP=0&isPndg=false
D. Fiscal Management,DPB,Gifts and Bequests to School District / Donated Assets,P,07/26/2016,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=77rfuwKRxhDXeosB6vtL0g==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=UbQL1xGtQpuhwEoCYu2lOw==&PG=6&IRP=0&isPndg=false
E. Business Management,EB,Building and Grounds Management,P,02/12/2007,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=1yWPnUFMnCRJbwRplusMzlLkw==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=dl98vahpaBjgELwMl2yfzA==&PG=6&IRP=0&isPndg=false
E. Business Management,EBAD,Tobacco Free District,P,02/12/2007,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=SMl6tgKdIFoUNCcves2HmQ==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=dl98vahpaBjgELwMl2yfzA==&PG=6&IRP=0&isPndg=false
E. Business Management,EBBA,School Safety Plan,P,10/16/2025,10/16/2025,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=83KBhhRXisEAedlA0nplusplusfg==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=dl98vahpaBjgELwMl2yfzA==&PG=6&IRP=0&isPndg=false
E. Business Management,EBBAA,Staff Identification Badges,P,07/26/2016,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=PmcGK0FJDW7VsffJbPplusTAw==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=dl98vahpaBjgELwMl2yfzA==&PG=6&IRP=0&isPndg=false
E. Business Management,EBBAB,Sex Offender,P,07/26/2016,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=VyHr11qjY91DeNScVvmbyw==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=dl98vahpaBjgELwMl2yfzA==&PG=6&IRP=0&isPndg=false
E. Business Management,EBBABB,Prohibition Against Aiding and Abetting Sex Offenders in Obtaining Employment,P,01/13/2017,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=w2KJ1lzu02NY22NToeajAw==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=dl98vahpaBjgELwMl2yfzA==&PG=6&IRP=0&isPndg=false
E. Business Management,EBBAD,School Occupational Safety and Crisis Response Plan,P,07/26/2016,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=HydCbQsswPkcuCKmslsh7oplusXg==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=dl98vahpaBjgELwMl2yfzA==&PG=6&IRP=0&isPndg=false
E. Business Management,EBBAG,Cardiac Emergency Response Plan,P,12/10/2024,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=BYXvB93oapZVzelUwxKYaQ==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=dl98vahpaBjgELwMl2yfzA==&PG=6&IRP=0&isPndg=false
E. Business Management,EBBC,Emergency Drills,P,07/26/2016,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=ozeBSwrc8AYbZHo9zQ11UQ==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=dl98vahpaBjgELwMl2yfzA==&PG=6&IRP=0&isPndg=false
E. Business Management,EBBD,Emergency Closings,P,12/10/2024,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=ILP0YBvM93pbplusv8ZDgnSplusA==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=dl98vahpaBjgELwMl2yfzA==&PG=6&IRP=0&isPndg=false
E. Business Management,EBC,Security,P,07/26/2016,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=0XGe5dvuslshVqNhezzQ0poBQ==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=dl98vahpaBjgELwMl2yfzA==&PG=6&IRP=0&isPndg=false
E. Business Management,EBGA,Public School Grounds Maintenance/School Bus Turnaround,P,07/26/2016,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=NAkk3Ue0SsVbvzNtau0MtA==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=dl98vahpaBjgELwMl2yfzA==&PG=6&IRP=0&isPndg=false
E. Business Management,EBHA,Use of School Property,P,05/09/1995,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=8cSyFa2XlTXLg7oLrgQdiA==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=dl98vahpaBjgELwMl2yfzA==&PG=6&IRP=0&isPndg=false
E. Business Management,EBI,Long Range Maintenance of Buildings or Grounds,P,07/26/2016,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=KzTRodrqOZO3e4T2GsUmPA==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=dl98vahpaBjgELwMl2yfzA==&PG=6&IRP=0&isPndg=false
